Newcastle City Council Invoices over £250 paid in February 2016,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,24-Feb-16,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6838968,Revenue,1V123,Blue Badge Applications,617.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ABSOLUTE QUALITY CARE,6830774,Revenue,1MG50,Home Care-Spot Purchased OP,"1,223,764.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ABSOLUTE QUALITY CARE,6830774,Revenue,1MH50,Home Care PD,"135,973.80",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,15-Feb-16,ABZORB DATA LTD,6829381,Capital,2N401,Capital General,659.00,
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,15-Feb-16,ABZORB DATA LTD,6829400,Capital,2N401,Capital General,"3,000.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,16-Feb-16,ABZORB DATA LTD,6829389,Capital,2N401,Capital General,"5,154.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ACCOUNTABILITY,6838210,Revenue,1MH40,Direct Payments PD,"2,782.00",
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,09-Feb-16,ACORN HOUSE,6824603,Revenue,1MC22,IND Sector Foster Carer Costs,"2,920.00",
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,18-Feb-16,ACP,6819753,Revenue,1KESW,Fleet SLA Costs & Income,"6,691.02",
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,18-Feb-16,ACP,6819753,Revenue,1KSCD,External Vehicle Tracking,"6,691.02",
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,25-Feb-16,ACROL AIR CONDITIONING CO LTD,6833148,Revenue,1FRAW,Premises Contracts,"9,007.80",
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,10-Feb-16,ACROL AIR CONDITIONING CO LTD,6826570,Revenue,1KL3A,City Hall,"2,398.28",
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,10-Feb-16,ACROL AIR CONDITIONING CO LTD,6826572,Revenue,1KL3A,City Hall,"1,065.46",
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,25-Feb-16,ACROL AIR CONDITIONING CO LTD,6840530,Revenue,1KVEM,Mechanical Stand Alone Works,488.52,
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,09-Feb-16,ACTION FOR CHILDREN,6824614,Revenue,1MC22,IND Sector Foster Carer Costs,"15,792.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,ACTIVE HORIZONS LTD,6824915,Revenue,1MG20,Residential Care OP,"3,000.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,ACTIVE HORIZONS LTD,6824915,Revenue,1MK20,Residential Care LD,"3,000.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,09-Feb-16,ACTIVE HORIZONS LTD,6824915,Revenue,1MG20,Residential Care OP,"3,000.20",
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,23-Feb-16,ADARE LTD,6837145,Revenue,1FL02,IndividualElectoralRegistrn,"2,407.32",
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,23-Feb-16,ADARE LTD,6837146,Revenue,1FL02,IndividualElectoralRegistrn,"1,197.76",
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,25-Feb-16,ADARE LTD,6841229,Revenue,1FL02,IndividualElectoralRegistrn,"42,536.53",
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,25-Feb-16,ADARE LTD,6841551,Revenue,1FL02,IndividualElectoralRegistrn,"2,269.73",
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,17-Feb-16,ADC ELECTRICAL CO LTD(F),6783200,Revenue,1KR8L,Wide District Heating,883.46,
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,23-Feb-16,ADC ELECTRICAL CO LTD(F),6835119,Revenue,1KR8L,Wide District Heating,462.00,
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,23-Feb-16,ADC ELECTRICAL CO LTD(F),6835120,Revenue,1KR8L,Wide District Heating,438.00,
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,18-Feb-16,ADC ELECTRICAL CO LTD(F),6833750,Revenue,1KR8L,Wide District Heating,307.20,
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,22-Feb-16,ADT FIRE & SECURITY,6836448,Revenue,1VH22,Temporary Accommodation Prem,822.70,
Chief Executive's,Exchequer Accounts Payable             ,Revenue Expenditure,25-Feb-16,ADVANCE MOULDINGS LTD,6841557,Revenue,1KL1D,East End Pool,474.00,
HRA,HRA West End CSC           ,Revenue Expenditure,25-Feb-16,ADVANCED CLEANING & MAINTENANCE LTD,6841970,Revenue,1HA01,R&M Gen - Citywide,852.00,
HRA,HRA Outer West CSC         ,Revenue Expenditure,26-Feb-16,ADVANCED CLEANING & MAINTENANCE LTD,6840772,Revenue,1HA01,R&M Gen - Citywide,"1,244.40",
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,26-Feb-16,ADVANCED LEGAL LTD,6833145,Revenue,1FA51,Coroner,"1,458.00",
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,26-Feb-16,ADVANCED WATER TECHNOLOGIES,6832622,Revenue,1KR8L,Wide District Heating,"1,638.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,17-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6832713,Capital,2N401,Capital General,"2,537.52",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,18-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6833666,Capital,2N401,Capital General,"3,000.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,18-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6833669,Capital,2N401,Capital General,"2,738.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,18-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6833680,Capital,2N401,Capital General,"1,785.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,18-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6833770,Capital,2N401,Capital General,"2,668.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,18-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6833776,Capital,2N401,Capital General,"3,000.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,05-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6799890,Capital,2N401,Capital General,"120,759.52",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,05-Feb-16,ADVANTEX NETWORK SOLUTIONS LTD,6799891,Capital,2N401,Capital General,"2,451.82",
Environment & Regeneration,E&R-Highway&Traffic Management   ,Revenue Expenditure,24-Feb-16,AECOM,6826531,Revenue,1V046,Freight Partnership,"11,579.39",
Environment & Regeneration,Highways                               ,Revenue Expenditure,16-Feb-16,AGD SYSTEMS LTD,6797120,Revenue,1KELA,Traffic Sig General O/H,480.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19-Feb-16,AGE UK NEWCASTLE,6834878,Revenue,1MG50,Home Care-Spot Purchased OP,"36,060.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19-Feb-16,AGE UK NEWCASTLE,6834878,Revenue,1MH50,Home Care PD,"27,045.60",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830783,Revenue,1MH50,Home Care PD,456.40,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830784,Revenue,1MH50,Home Care PD,433.58,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830785,Revenue,1MH50,Home Care PD,"1,369.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830786,Revenue,1MH50,Home Care PD,"3,331.76",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830787,Revenue,1MH50,Home Care PD,"1,780.08",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830788,Revenue,1MH50,Home Care PD,"15,768.62",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,AGE UK NEWCASTLE,6830832,Revenue,1MG51,Home Care-Personal OP,472.08,
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Feb-16,AGE UK NEWCASTLE,6834474,Revenue,1MG60,Day Care OP,"64,299.20",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Feb-16,AGE UK NEWCASTLE,6834474,Revenue,1FA23,Cost Centre not Found,"32,149.60",
Adult and Culture,Adult Serv Admin Support    ,Revenue Expenditure,23-Feb-16,AGE UK NEWCASTLE,6840649,Revenue,1MG50,Home Care-Spot Purchased OP,"9,015.20",
Chief Executive's,CD - Treasury Mgmt Payments NOR        ,Revenue Expenditure,24-Feb-16,AGE UK NEWCASTLE,6841536,Revenue,1RB48,Other Corporate Items,"32,149.60",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,11-Feb-16,AGILE COMMUNICATIONS,6827368,Capital,2N401,Capital General,"2,391.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,23-Feb-16,AGILE COMMUNICATIONS,6838904,Capital,2N401,Capital General,"26,229.69",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,18-Feb-16,AGILE COMMUNICATIONS,6833672,Capital,2N401,Capital General,"2,338.54",
Environment & Regeneration,Cityworks City Hall        ,Revenue Expenditure,19-Feb-16,AHA DISTRIBUTION,6833137,Revenue,1KL3A,City Hall,924.00,
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,24-Feb-16,AJT,6840526,Revenue,1KVWC,Minor Works Contracts,"1,080.00",
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,04-Feb-16,AKW MEDI-CARE LTD,6818183,Revenue,1KR12,DDA,432.20,
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,25-Feb-16,AKW MEDI-CARE LTD,6834613,Revenue,1KR12,DDA,"1,345.18",
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,19-Feb-16,AKW MEDI-CARE LTD,6834440,Revenue,1KR12,DDA,432.20,
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,19-Feb-16,AKW MEDI-CARE LTD,6834445,Revenue,1KR12,DDA,576.28,
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,19-Feb-16,AKW MEDI-CARE LTD,6834534,Revenue,1KVWC,Minor Works Contracts,"1,738.02",
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,10-Feb-16,AKW MEDI-CARE LTD,6822785,Revenue,1KBM0,Public & Educ O/H,316.08,
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,10-Feb-16,AKW MEDI-CARE LTD,6822926,Revenue,1KR12,DDA,"1,669.90",
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,10-Feb-16,AKW MEDI-CARE LTD,6822927,Revenue,1KR12,DDA,"1,283.98",
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,23-Feb-16,ALAN CARR DESIGN & PRINT,6827117,Revenue,1V204,Car Parking Infrastructure,"1,238.40",
Children's Services,Schools Payment Agency                 ,Capital Expenditure,10-Feb-16,ALARM&COMMUNICATION SYSTEMS LTD,6826549,Capital,2E+106,Gosforth East Middle,"15,000.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALBANY HOUSE  (WHITLEY BAY),6838439,Revenue,1MM20,Residential Care MH,"19,101.96",
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,09-Feb-16,ALBANY MOTORS,6815802,Revenue,1KESA,Heavy Workshop Routine Repair,888.00,
Adult and Culture,Adult Serv Admin Support   ,Revenue Expenditure,18-Feb-16,ALBANY OFFICE FURNITURE SOLUTIONS,6832441,Revenue,1MB03,Childcare (Hospitals),318.00,
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,08-Feb-16,ALERE TOXICOLOGY,6823212,Revenue,1MD68,Legal Fees Care,304.08,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Feb-16,ALEXANDRA HOUSE,6824844,Revenue,1MG20,Residential Care OP,"1,376.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,09-Feb-16,ALEXANDRA HOUSE,6824844,Revenue,1MG20,Residential Care OP,"1,376.20",
Environment & Regeneration,E&R Fairer Housing            ,Capital Expenditure,25-Feb-16,ALL SOLUTIONS CONSTRUCTION LTD,6841226,Capital,2N101,Capital Grants,"4,052.48",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MG10,Nursing Care OP,"1,966,856.10",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MG20,Residential Care OP,"894,025.50",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MK10,Nursing Care LD,"59,601.70",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MK20,Residential Care LD,"178,805.10",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MM20,Residential Care MH,"238,406.80",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MM43,Carers Support Payments MH,"59,601.70",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838504,Revenue,1MG10,Nursing Care OP,448.00,
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MG10,Nursing Care OP,"119,203.40",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MG20,Residential Care OP,"357,610.20",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MK10,Nursing Care LD,"59,601.70",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MK20,Residential Care LD,"119,203.40",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ALLAN COURT RESIDENTIAL HOME,6838490,Revenue,1MM20,Residential Care MH,"59,601.70",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ALLIED HEALTHCARE GROUP,6830839,Revenue,1MG51,Home Care-Personal OP,"17,462,739.76",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ALLIED HEALTHCARE GROUP,6830839,Revenue,1MH50,Home Care PD,"2,549,869.08",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ALLIED HEALTHCARE GROUP,6830839,Revenue,1MK51,Home Care LD,"618,150.08",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ALLIED HEALTHCARE GROUP,6830839,Revenue,1MM50,Home Care MH,"540,881.32",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,11-Feb-16,ALNWICK COMPUTERWARE,6827240,Capital,2N401,Capital General,"2,995.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,11-Feb-16,ALNWICK COMPUTERWARE,6827254,Capital,2N401,Capital General,"12,000.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,17-Feb-16,ALNWICK COMPUTERWARE,6829413,Capital,2N401,Capital General,"2,995.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,17-Feb-16,ALNWICK COMPUTERWARE,6832709,Capital,2N401,Capital General,"9,000.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,08-Feb-16,ALNWICK COMPUTERWARE,6800988,Capital,2N401,Capital General,"48,000.00",
Children's Services,Childrens Services Support       ,Revenue Expenditure,17-Feb-16,ALTER EGO CREATIVE SOLUTIONS LTD,6832574,Revenue,1MB15,Newcastle Safeguarding Board,"5,664.00",
Environment & Regeneration,Allendale Building                     ,Current Assets,23-Feb-16,AMARI PLASTICS PLC,6819816,Revenue,4RX01,General Fund,327.02,
Chief Executive's,CD - Accountancy NOR                   ,Revenue Expenditure,09-Feb-16,AMICUSHORIZON LIMITED,6825439,Revenue,1FF51,Finance,"1,200.00",
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Feb-16,ANCHOR TRUST,6834471,Revenue,1MX51,VP Hosuing Support Subsidy,"23,437.55",
Adult and Culture,Social Services                        ,Revenue Expenditure,01-Feb-16,ANDREW LAWSON ESTATE AGENTS,6816509,Revenue,3WJ01,Service Users Funds,480.00,
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,04-Feb-16,ANDTECH SYSTEMS,6804178,Revenue,1KJ42,Security Consultancy,"6,204.00",
Environment & Regeneration,NS: Waste Management       ,Revenue Expenditure,15-Feb-16,ANDTECH SYSTEMS,6813559,Revenue,1KE23,Sandhills,"3,600.00",
Environment & Regeneration,NS: Waste Management       ,Revenue Expenditure,15-Feb-16,ANDTECH SYSTEMS,6813568,Revenue,1KE23,Sandhills,"4,200.00",
Chief Executive's,CD - Markets                     ,Revenue Expenditure,22-Feb-16,APEX RADIO SYSTEMS LTD,6834029,Revenue,1DR03,Grainger Market,"1,800.00",
Environment & Regeneration,NS: Waste Management       ,Revenue Expenditure,26-Feb-16,APEX RADIO SYSTEMS LTD,6832685,Revenue,1KE23,Sandhills,454.80,
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,05-Feb-16,APSE,6813369,Revenue,1KKK1,Cleaning Direct O/H,"1,869.00",
Environment & Regeneration,Cityworks Clean E/C        ,Revenue Expenditure,09-Feb-16,APSE,6824689,Revenue,1KEAR,Cleansing Overhead,405.60,
HRA,HRA Planning QS            ,Capital Expenditure,12-Feb-16,AQUA INTERIORS,6828762,Capital,2HE01,Capital Citywide,"18,217.98",
Children's Services,Invoice,Revenue Expenditure,08-Feb-16,AQUILA SHELTERS LTD,6782848,Revenue,1DR08,Christmas Market,"12,996.00",
Adult and Culture,Social Services                        ,Revenue Expenditure,04-Feb-16,ARCADEA,6820222,Revenue,1MK34,Shared Lives - Adult LD,450.00,
Adult and Culture,Social Services                        ,Revenue Expenditure,04-Feb-16,ARCADEA,6820224,Revenue,1MK34,Shared Lives - Adult LD,360.00,
Chief Executive's,CD - Communities                 ,Revenue Expenditure,18-Feb-16,AREEEBA DISTRIBUTION,6827625,Revenue,1KN32,Kenton Ward,300.00,
Chief Executive's,CD - Treasury Mgmt Payments NOR        ,Revenue Expenditure,10-Feb-16,ARLINGCLOSE LTD,6788687,Revenue,1RL50,Treasury Management Expenses,"16,200.00",
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,19-Feb-16,ARNOLD CLARK,6816786,Revenue,1KESB,Heavy Workshop Code 5 Repairs,"7,844.24",
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,22-Feb-16,ARRIVA NORTH EAST,6827035,Revenue,1V301,Travel office Travel Passes,"3,926.00",
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,09-Feb-16,ARTEMIS SUPPORT,6824641,Revenue,1MC02,Ind Sector Placements,"11,600.00",
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,09-Feb-16,ARTEMIS SUPPORT,6824642,Revenue,1MC02,Ind Sector Placements,"46,400.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ARTEMIS SUPPORT LTD,6830772,Revenue,1MG50,Home Care-Spot Purchased OP,"218,423.20",
Adult and Culture,Social Services                        ,Revenue Expenditure,26-Feb-16,ASDA PHARMACY,6842567,Revenue,1ML10,PH - Sexual health -C'ception,"3,542.48",
Adult and Culture,Social Services                        ,Revenue Expenditure,26-Feb-16,ASDA STORES LIMITED,6842566,Revenue,1ML09,PH - Drugs and alcohol,"1,355.66",
Adult and Culture,Social Services                        ,Revenue Expenditure,26-Feb-16,ASDA STORES LIMITED,6842566,Revenue,1ML11,PH - Smoking & Tobacco,"1,355.66",
Adult and Culture,Social Services                        ,Revenue Expenditure,26-Feb-16,ASDA STORES LIMITED,6842566,Revenue,1ML10,PH - Sexual health -C'ception,"1,355.66",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Revenue Expenditure,05-Feb-16,ASHBURTON RESIDENTS ASSOCIATION,6821880,Revenue,1KN43,West Gosforth Ward,"1,700.00",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Feb-16,ASHFIELD COURT,6838440,Revenue,1MG20,Residential Care OP,"24,613.60",
Adult and Culture,Social Services-Carefirst              ,Revenue Income,23-Feb-16,ASHFIELD COURT,6838440,Revenue,1MG20,Residential Care OP,"12,306.80",
Environment & Regeneration,Highways                               ,Revenue Expenditure,05-Feb-16,ASHTEAD PLANT HIRE CO LTD,6717689,Revenue,1KEMC,Highways,"1,401.44",
Children's Services,Byker Community Primary School         ,Revenue Income,05-Feb-16,ASHWOOD,6821044,Revenue,4RX01,General Fund,603.20,
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Income,23-Feb-16,ASKEWS LIBRARY SERVICES LTD,6824770,Revenue,4RX01,General Fund,334.51,
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Income,22-Feb-16,ASKEWS LIBRARY SERVICES LTD,6824769,Revenue,4RX01,General Fund,363.66,
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Income,16-Feb-16,ASKEWS LIBRARY SERVICES LTD,6816417,Revenue,4RX01,General Fund,317.53,
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ASPIRATIONS CARE LTD,6830827,Revenue,1MH50,Home Care PD,"16,313.08",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ASPIRATIONS CARE LTD,6830828,Revenue,1MH50,Home Care PD,"2,501.32",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ASPIRATIONS CARE LTD,6830829,Revenue,1MH50,Home Care PD,"9,952.12",
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,16-Feb-16,ASPIRATIONS CARE LTD,6830830,Revenue,1MM50,Home Care MH,"32,984.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,11-Feb-16,ASPIRE TECHNOLOGY SOLUTIONS LTD,6827256,Capital,2N401,Capital General,"27,000.00",
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,11-Feb-16,ASPIRE TECHNOLOGY SOLUTIONS LTD,6827291,Capital,2N401,Capital General,"3,000.00",
