Newcastle City Council Invoices over £250 paid in January 2016,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ABBEYFIELD THE GROVE,6812899,Revenue,1MG20,Residential Care OP,"1,969.28"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ABBEYFIELD THE GROVE,6812899,Revenue,1MG20,Residential Care OP,-677.24
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ABBEYMOOR,6812911,Revenue,1MM20,Residential Care MH,"4,000.00"
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,06/01/2016,ABC AWARDS,6784498,Revenue,1EA15,Newcastle City Learning Main,323.00
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,04/01/2016,ABC AWARDS,6782929,Revenue,1EA15,Newcastle City Learning Main,285.00
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,04/01/2016,ABC AWARDS,6782932,Revenue,1EA15,Newcastle City Learning Main,285.00
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,27/01/2016,ABIGAIL HOUSE,6812912,Revenue,4WX13,Ind Sector Client Loan Fund,"1,288.72"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ABIGAIL HOUSE,6812912,Revenue,1MG20,Residential Care OP,"9,393.08"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ABIGAIL HOUSE,6812912,Revenue,1MG20,Residential Care OP,"-2,497.40"
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,05/01/2016,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6792545,Revenue,1V123,Blue Badge Applications,692.30
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ABSOLUTE QUALITY CARE,6805534,Revenue,1MG50,Home Care-Spot Purchased OP,"12,975.80"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ABSOLUTE QUALITY CARE,6805534,Revenue,1MH50,Home Care PD,"5,852.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,14/01/2016,ABSOLUTE RENEWABLE TECHNOLOGIES LTD,6801379,Capital,2FT14,Property Services,"30,000.00"
Chief Executive's,CD - Finance & Resources NOR           ,Revenue Expenditure,14/01/2016,ABSOLUTE RENEWABLE TECHNOLOGIES LTD,6801379,Revenue,1V204,Car Parking Infrastructure,800.00
Children's Services,Schools Payment Agency                 ,Revenue Expenditure,12/01/2016,ACCENT DISTRIBUTION SERVICES,6800083,Revenue,1E459,Cruddas PK Early Years Centre,256.12
Chief Executive's,CD - Exchequer Payroll Prep      ,Revenue Expenditure,15/01/2016,ACCENTURE,6798715,Revenue,1CF00,Payroll,"5,329.50"
Chief Executive's,CD - Exchequer Payroll Prep      ,Revenue Expenditure,21/01/2016,ACCENTURE,6808009,Revenue,1CF00,Payroll,"6,170.15"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,26/01/2016,ACCOUNTABILITY,6810768,Revenue,1MH40,Direct Payments PD,"2,782.00"
Environment & Regeneration,CW Services to Schools           ,Revenue Expenditure,19/01/2016,ACORN DAIRY,6802356,Revenue,1KFX2,School Meals Overhead,"11,877.45"
Environment & Regeneration,NS: Resources              ,Capital Expenditure,12/01/2016,ACP,6755083,Capital,2DP02,Devt Capital CC,900.00
Environment & Regeneration,NS: Resources              ,Capital Expenditure,13/01/2016,ACP,6795880,Capital,2DP02,Devt Capital CC,"3,948.00"
Environment & Regeneration,NS: Resources              ,Capital Expenditure,08/01/2016,ACP,6797978,Capital,2DP02,Devt Capital CC,"1,410.00"
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,05/01/2016,ACP,6794799,Revenue,1KESW,Fleet SLA Costs & Income,"3,985.35"
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,05/01/2016,ACP,6794799,Revenue,1KSCD,External Vehicle Tracking,"1,425.95"
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,13/01/2016,ACP,6795879,Revenue,1KESW,Fleet SLA Costs & Income,"4,060.00"
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,19/01/2016,ACP,6802136,Revenue,1KESW,Fleet SLA Costs & Income,"4,229.70"
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,19/01/2016,ACP,6802136,Revenue,1KSCD,External Vehicle Tracking,"1,425.95"
Chief Executive's,CD - Revenues & Benefits         ,Revenue Expenditure,05/01/2016,ACS LTD,6794820,Revenue,1CR01,Revenues & Benefits Managemnt,"1,050.00"
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ACTION FOR CHILDREN,6809832,Revenue,1MF12,Adoption Interagency,"15,766.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12/01/2016,ACTIVE HORIZONS LTD,6799755,Revenue,1MG20,Residential Care OP,"1,748.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12/01/2016,ACTIVE HORIZONS LTD,6799755,Revenue,1MK20,Residential Care LD,"1,748.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,12/01/2016,ACTIVE HORIZONS LTD,6799755,Revenue,1MG20,Residential Care OP,-495.80
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,05/01/2016,ADARE LTD,6792623,Revenue,1FL02,IndividualElectoralRegistrn,"5,686.88"
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,29/01/2016,ADARE LTD,6790601,Revenue,1FL02,IndividualElectoralRegistrn,432.60
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,25/01/2016,ADARE LTD,6809715,Revenue,1FL02,IndividualElectoralRegistrn,"1,563.01"
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,26/01/2016,ADC ELECTRICAL CO LTD(F),6811478,Revenue,1KR20,M&E Electrical,723.00
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,27/01/2016,ADC ELECTRICAL CO LTD(F),6813237,Revenue,1KR20,M&E Electrical,396.00
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,15/01/2016,ADC ELECTRICAL CO LTD(F),6801876,Revenue,1KR8L,Wide District Heating,482.00
HRA,HRA Byker                  ,Revenue Expenditure,13/01/2016,ADVANCED CLEANING & MAINTENANCE LTD,6801299,Revenue,1HA01,R&M Gen - Citywide,"2,962.00"
HRA,HRA Kenton CSC             ,Revenue Expenditure,14/01/2016,ADVANCED CLEANING & MAINTENANCE LTD,6802407,Revenue,1HA01,R&M Gen - Citywide,"1,065.00"
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,11/01/2016,ADVANCED LEGAL LTD,6796998,Revenue,1FA51,Coroner,"1,215.00"
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,28/01/2016,ADVANCED WATER TECHNOLOGIES,6807394,Revenue,1KR8L,Wide District Heating,"1,365.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,15/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6802509,Capital,2N401,Capital General,"3,000.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6798721,Capital,2N401,Capital General,"2,295.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6798739,Capital,2N401,Capital General,"17,139.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6798869,Capital,2N401,Capital General,"2,716.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6798877,Capital,2N401,Capital General,"2,364.78"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6798881,Capital,2N401,Capital General,"3,000.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ADVANTEX NETWORK SOLUTIONS LTD,6799456,Capital,2N401,Capital General,"2,364.78"
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,07/01/2016,AECOM,6797359,Capital,2DP02,Devt Capital CC,"3,397.00"
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,12/01/2016,AECOM,6797151,Capital,2DP02,Devt Capital CC,"19,110.00"
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,07/01/2016,AECOM,6797152,Capital,2DP02,Devt Capital CC,"32,922.87"
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,07/01/2016,AECOM,6797158,Capital,2DP02,Devt Capital CC,"8,405.00"
Environment & Regeneration,E&R-Highway&Traffic Management   ,Revenue Expenditure,07/01/2016,AECOM,6797153,Revenue,1V046,Freight Partnership,"7,602.00"
Environment & Regeneration,Highways                               ,Revenue Expenditure,14/01/2016,AGD SYSTEMS LTD,6758488,Revenue,1KELA,Traffic Sig General O/H,"1,570.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805293,Revenue,1MH50,Home Care PD,"1,369.20"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805294,Revenue,1MH50,Home Care PD,"1,665.88"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805295,Revenue,1MH50,Home Care PD,"1,780.08"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805296,Revenue,1MH50,Home Care PD,"7,884.31"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805297,Revenue,1MH50,Home Care PD,"5,476.80"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805504,Revenue,1MG51,Home Care-Personal OP,472.08
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805513,Revenue,1MG50,Home Care-Spot Purchased OP,"1,168.20"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,AGE UK NEWCASTLE,6805513,Revenue,1MH50,Home Care PD,"8,224.60"
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,22/01/2016,AGE UK NEWCASTLE,6808506,Revenue,1MG60,Day Care OP,"18,420.64"
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,22/01/2016,AGE UK NEWCASTLE,6808506,Revenue,1FA23,Cost Centre not Found,"13,728.96"
Chief Executive's,CD - Treasury Mgmt Payments NOR        ,Revenue Expenditure,22/01/2016,AGE UK NEWCASTLE,6809736,Revenue,1RB48,Other Corporate Items,"35,000.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,14/01/2016,AGILE COMMUNICATIONS,6801406,Capital,2N401,Capital General,"1,856.00"
Environment & Regeneration,Cityworks City Hall        ,Revenue Expenditure,13/01/2016,AHA DISTRIBUTION,6801025,Revenue,1KL3A,City Hall,567.00
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,14/01/2016,AKW MEDI-CARE LTD,6795224,Revenue,1KR12,DDA,318.95
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,07/01/2016,AKW MEDI-CARE LTD,6794961,Revenue,1KR12,DDA,285.69
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,07/01/2016,AKW MEDI-CARE LTD,6794965,Revenue,1KR12,DDA,560.49
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,07/01/2016,AKW MEDI-CARE LTD,6794966,Revenue,1KR12,DDA,318.95
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,07/01/2016,AKW MEDI-CARE LTD,6794967,Revenue,1KR12,DDA,486.71
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,05/01/2016,ALAN CARR DESIGN & PRINT,6790099,Revenue,1V204,Car Parking Infrastructure,496.50
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,06/01/2016,ALAN CARR DESIGN & PRINT,6795491,Revenue,1V204,Car Parking Infrastructure,312.50
Environment & Regeneration,E&R-Highway&Traffic Management   ,Revenue Expenditure,05/01/2016,ALAN HILLARY EVENTS LTD,6790350,Revenue,1KE92,Christmas Lights,"2,500.00"
Chief Executive's,"CD - Audit, Insurance & Risk NOR       ",Revenue Expenditure,20/01/2016,ALARM,6807238,Revenue,3RM18,Insurance Control Susp-Financ,666.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALBANY HOUSE  (WHITLEY BAY),6812913,Revenue,1MM20,Residential Care MH,"4,855.80"
Adult and Culture,Adult Serv Admin Support   ,Revenue Expenditure,05/01/2016,ALBANY OFFICE FURNITURE SOLUTIONS,6747647,Revenue,1MG01,Care Management OP,259.00
Adult and Culture,Adult Serv Admin Support   ,Revenue Expenditure,05/01/2016,ALBANY OFFICE FURNITURE SOLUTIONS,6747651,Revenue,1MG01,Care Management OP,265.00
Chief Executive's,CD - Corporate Procurement       ,Revenue Expenditure,19/01/2016,ALBANY OFFICE FURNITURE SOLUTIONS,6741686,Revenue,1MR82,Commisioning And Procurement,259.00
Chief Executive's,CD - Economic Development        ,Capital Expenditure,13/01/2016,ALBANY OFFICE FURNITURE SOLUTIONS,6800292,Capital,2CAPI,Capital Investment,522.00
Adult and Culture,Adult Serv Finance         ,Revenue Expenditure,25/01/2016,ALCOHOL CONCERN,6809814,Revenue,1ML01,PH - Public Health Main,"3,500.00"
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,07/01/2016,ALERE TOXICOLOGY,6796876,Revenue,1MD68,Legal Fees Care,590.75
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12/01/2016,ALEXANDRA HOUSE,6799674,Revenue,1MG20,Residential Care OP,"1,872.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,12/01/2016,ALEXANDRA HOUSE,6799674,Revenue,1MG20,Residential Care OP,-495.80
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MG10,Nursing Care OP,"-40,922.96"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MG20,Residential Care OP,"19,711.12"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MK10,Nursing Care LD,"65,392.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MK20,Residential Care LD,"7,713.42"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MM20,Residential Care MH,"5,726.08"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812980,Revenue,1MG10,Nursing Care OP,448.00
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MG10,Nursing Care OP,"13,396.48"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MG20,Residential Care OP,"-3,782.72"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MK10,Nursing Care LD,"-14,378.82"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MK20,Residential Care LD,-671.48
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ALLAN COURT RESIDENTIAL HOME,6812963,Revenue,1MM20,Residential Care MH,-505.20
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,07/01/2016,ALLAWAY ACOUSTICS,6752299,Revenue,1KVEM,Mechanical Stand Alone Works,"5,512.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ALLIED HEALTHCARE GROUP,6805511,Revenue,1MG51,Home Care-Personal OP,"61,473.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ALLIED HEALTHCARE GROUP,6805511,Revenue,1MH50,Home Care PD,"11,565.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ALLIED HEALTHCARE GROUP,6805511,Revenue,1MK51,Home Care LD,"2,878.40"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ALLIED HEALTHCARE GROUP,6805511,Revenue,1MM50,Home Care MH,876.00
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ALNWICK COMPUTERWARE,6790053,Capital,2N401,Capital General,"6,000.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ALNWICK COMPUTERWARE,6798719,Capital,2N401,Capital General,"11,645.00"
Chief Executive's,CD - Finance & Resources NOR           ,Capital Expenditure,12/01/2016,ALNWICK COMPUTERWARE,6798904,Capital,2N401,Capital General,"2,995.00"
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,05/01/2016,AMTECH GROUP LTD,6795336,Revenue,1KVEE,Electrical Stand Alone Works,"1,454.40"
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,27/01/2016,ANDTECH SYSTEMS,6804175,Revenue,1KJ42,Security Consultancy,"1,520.00"
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,27/01/2016,ANDTECH SYSTEMS,6804176,Revenue,1KJ42,Security Consultancy,"1,805.83"
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Revenue Expenditure,15/01/2016,ANFIELD COURT RESIDENTS ASSOCIATION,6803453,Revenue,1KN31,Fawdon Ward,320.00
Chief Executive's,CD - IT Mgmt & Networks          ,Revenue Expenditure,15/01/2016,ANTALIS MCNAUGHTON LTD,6803421,Revenue,1CP17,Digital Printing,250.45
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,21/01/2016,APSE,6729486,Revenue,1KB21,Apprentices O/H,495.00
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ARCADEA,6808168,Revenue,1MK34,Shared Lives - Adult LD,360.00
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ARCADEA,6808172,Revenue,1MK34,Shared Lives - Adult LD,360.00
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ARCADEA,6808656,Revenue,1MK34,Shared Lives - Adult LD,405.00
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ARCADEA,6809628,Revenue,1MK34,Shared Lives - Adult LD,405.00
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ARCADEA,6809629,Revenue,1MK34,Shared Lives - Adult LD,405.00
Adult and Culture,Social Services                        ,Revenue Expenditure,25/01/2016,ARCADEA,6809630,Revenue,1MK34,Shared Lives - Adult LD,360.00
Chief Executive's,CD - Communities                 ,Revenue Expenditure,29/01/2016,AREEEBA DISTRIBUTION,6814390,Revenue,1KN50,Denton Ward,300.00
Chief Executive's,CD - Communities                 ,Revenue Expenditure,29/01/2016,AREEEBA DISTRIBUTION,6814392,Revenue,1KN53,Westerhope Ward,252.00
Chief Executive's,CD - Communities                 ,Revenue Expenditure,21/01/2016,AREEEBA DISTRIBUTION,6807299,Revenue,1KN32,Kenton Ward,312.00
HRA,HRA Planning QS            ,Capital Expenditure,14/01/2016,ARGUS ECOLOGICAL SERVICES LTD,6797304,Capital,2HE01,Capital Citywide,"12,024.10"
Environment & Regeneration,Highways                               ,Revenue Expenditure,12/01/2016,ARMCON LTD,6790309,Revenue,1KEMC,Highways,309.95
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,11/01/2016,ARRIVA NORTH EAST,6790582,Revenue,1V301,Travel office Travel Passes,"1,585.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,19/01/2016,ARTEMIS SUPPORT LTD,6805532,Revenue,1MG50,Home Care-Spot Purchased OP,"11,383.18"
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,12/01/2016,ASCENTIS,6790610,Revenue,1EA15,Newcastle City Learning Main,500.00
Chief Executive's,CD - Revenues & Benefits         ,Revenue Expenditure,07/01/2016,ASH INFORMATION SYSTEMS LTD,6790341,Revenue,1CR01,Revenues & Benefits Managemnt,"13,200.00"
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,27/01/2016,ASHFIELD COURT,6812914,Revenue,1MG20,Residential Care OP,"7,756.19"
Adult and Culture,Social Services-Carefirst              ,Revenue Income,27/01/2016,ASHFIELD COURT,6812914,Revenue,1MG20,Residential Care OP,"-1,208.88"
Environment & Regeneration,Regen B/Control            ,Revenue Expenditure,05/01/2016,ASK 4 GLASS & GLAZING LTD,6794872,Revenue,1V563,Building Control Work Default,680.00
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,06/01/2016,ASKEWS LIBRARY SERVICES LTD,6793851,Revenue,1EJ13,Stock Services,321.25
